127562, г. Москва, ул. Декабристов, д. 8
670034, Республика Бурятия, г. Улан-Удэ, ул. Революции 1905 г., д. 42
670042, Республика Бурятия, г. Улан-Удэ, ул. Калашникова, д. 17
367000, Республика Дагестан, г. Махачкала, А. Султана, № 10 "а"
367000, Республика Дагестан, г. Махачкала, просп. Петра Первого, 16
367000, Республика Дагестан, г. Махачкала, ул. Ермошкина, 85
367000, Республика Дагестан, г. Махачкала, ул. Ермошкина, № 10, лит. "А"
367013, Республика Дагестан, г. Махачкала, просп. Гамидова, д. 18 "д"
367015, Республика Дагестан, г. Махачкала, ул. Гагарина, дом 80 "в"
367026, Республика Дагестан, г. Махачкала, пр. И.Шамиля, № 5 "Б"
368502, Республика Дагестан, г. Избербаш, ул. Гамидова
368608, Республика Дагестан, г. Дербент, ул. 345 Дагестанской стрелковой дивизии, д. №8-е
368608, Республика Дагестан, г. Дербент, ул. Сальмана, 60-а
368870, Республика Дагестан, г. Кизляр, ул. Победы, д. 19
368870, Республика Дагестан, г. Кизляр, ул. Циолковского, 16
360000, Кабардино-Балкарская Республика, г. Нальчик, проспект Кулиева, д. 2
360000, Кабардино-Балкарская Республика, г. Нальчик, ул. Ленина, д. 14
360000, Кабардино-Балкарская Республика, г. Нальчик, ул. Мальбахова, д. 28
360000, Кабардино-Балкарская Республика, г. Нальчик, ул. Ногмова/Шогенцукова, д. б/н
360000, Кабардино-Балкарская Республика, г. Нальчик, ул. Пушкина, д. 58-а
360000, Кабардино-Балкарская Республика, г. Нальчик, ул. Шогенова, д. 4
360019, Кабардино-Балкарская Республика, г. Нальчик, ул. Б.Хмельницкого, д. 41, пом. 646 "Г"
360022, Кабардино-Балкарская Республика, г. Нальчик, ул. Мечникова, д. 173-175
360030, Кабардино-Балкарская Республика, г. Нальчик, просп. Кулиева, 28-а
360051, Кабардино-Балкарская Республика, г. Нальчик, пр. Шогенцукова, д.34-а, пом.№1
361045, Кабардино-Балкарская Республика, г. Прохладный, ул. Пролетарская, д. 3
361115, Кабардино-Балкарская Республика, Майский район, г. Майский, ул. М. Горького, д. 73 "а"
361202, Кабардино-Балкарская Республика, Терский район, г. Терек, ул. Лермонтова, д. 85 "а"
361330, Кабардино-Балкарская Республика, Урванский район, г. Нарткала, ул. Шекихачева, д. 15
361401, Кабардино-Балкарская Республика, Чегемский район, г. Чегем, Баксанское Шоссе
361500, Кабардино-Балкарская Республика, Баксанский район, с. Дугулубгей, ул. Баксанская, строен. б/н
361534, Кабардино-Балкарская Республика, г. Баксан, ул. Толстого, д. 2
358000, Республика Калмыкия, г. Элиста, 6-й микрорайон, д. 3 а
358000, Республика Калмыкия, г. Элиста, ул. В.И.Ленина, д. 228 А
358000, Республика Калмыкия, г. Элиста, ул. Пушкина, 25 б
358000, Республика Калмыкия, г. Элиста, ул. Ю. Клыкова, дом 144а
358009, Республика Калмыкия, г. Элиста, 3-й микрорайон, д. 14 Б
358009, Республика Калмыкия, г. Элиста, 3-й микрорайон, д. 20 В
358009, Республика Калмыкия, г. Элиста, ул. Буденного, д. № 1а, стр. 3
358014, Республика Калмыкия, г. Элиста, 8 микрорайон, д. 49 "А"
369000, Карачаево-Черкесская Республика, г. Черкесск, ул. Калантаевского, д. 2а
369001, Карачаево-Черкесская Республика, г. Черкесск, ул. Космонавтов, д. 5А
185001, Республика Карелия, г. Петрозаводск, ул. Шотмана, д. 32
185031, Республика Карелия, г. Петрозаводск, ул. Лисицыной, д. 4В
185035, Республика Карелия, г. Петрозаводск, ул. Антикайнена, д. 3-а, пом. 6
186220, Республика Карелия, г. Кондопога, Октябрьское шоссе, д. 69а
167000, Республика Коми, г. Сыктывкар, ул. Первомайская, 25
167001, Республика Коми, г. Сыктывкар, Октябрьский проспект, д. 16
167018, Республика Коми, г. Сыктывкар, ул. Мира, 8/2
167023, Республика Коми, г. Сыктывкар, ул. Коммунистическая, д. 70/1
167026, Республика Коми, г. Сыктывкар, пр. Бумажников, д. 41/12
167026, Республика Коми, г. Сыктывкар, пр. Бумажников, д. 53г
169319, Республика Коми, г. Ухта, пр-т Ленина, 53б
424000, Республика Марий Эл, г. Йошкар-Ола, Ленинский проспект, дом 20в
424000, Республика Марий Эл, г. Йошкар-Ола, ул. Кремлевская, д.21
424000, Республика Марий Эл, г. Йошкар-Ола, ул. Строителей, д. 32
424006, Республика Марий Эл, г. Йошкар-Ола, проспект Гагарина, дом 4
424020, Республика Марий Эл, г. Йошкар-Ола, ул. Красноармейская, д. 93
425000, Республика Марий Эл, г. Волжск, ул. Ленина, д. 52
425061, Республика Марий Эл, Звениговский район, город Звенигово, улица Вечеркина, дом 16
430016, Республика Мордовия, г. Саранск, Ленинский район, ул. Пролетарская, д. 108
430027, Республика Мордовия, г. Саранск, Ленинский район, улица Невского, д.101А, строение 3
430027, Республика Мордовия, г. Саранск, Октябрьский район, ул. Косарева, д. 5А
430027, Республика Мордовия, г. Саранск, Октябрьский район, ул. Ульянова, д. № 22А
431440, Республика Мордовия, Рузаевский район, г. Рузаевка, ул. Ленина, 73
431449, Республика Мордовия, г. Рузаевка, ул. Юрасова
677000, Республика Саха (Якутия), г. Якутск, ул. Пояркова, д. 14
677001, Республика Саха (Якутия), г. Якутск, ул. Ф. Попова, д. 8
677008, Республика Саха (Якутия), г. Якутск, ул. Лермонтова, д. 66
677013, Республика Саха (Якутия), г. Якутск, ул. Ломоносова, д. 45
677018, Республика Саха (Якутия), г. Якутск, ул. Ярославского, д. 13, корп. 2
687009, Республика Саха (Якутия), г. Якутск, ул. Жорницкого, д. 12
362000, Республика Северная Осетия-Алания, г. Владикавказ, Проспект Доватора, д. 2
362000, Республика Северная Осетия-Алания, г. Владикавказ, проспект Коста, д. 228
362003, Республика Северная Осетия-Алания, г. Владикавказ, ул. Б. Ватаева, д. 62 "а"
362003, Республика Северная Осетия-Алания, г. Владикавказ, ул. Пашковского/пер. Заря, д. 18/9
362008, Республика Северная Осетия-Алания, г. Владикавказ, Гадиева ул./Зангиева ул., д. 6"б"/8"а"
362011, Республика Северная Осетия-Алания, г. Владикавказ, ул. Николаева, д. 36
362011, Республика Северная Осетия-Алания, г. Владикавказ, ул. Тельмана, д. 16
362013, Республика Северная Осетия-Алания, г. Владикавказ, Мичурина ул./Тельмана ул., д. 71 "а"/39 "а"
362019, Республика Северная Осетия-Алания, г. Владикавказ, ул. Куйбышева/ ул. Ленина, д. 8/42
362020, Республика Северная Осетия-Алания, г. Владикавказ, Костанаева ул./ П. Барбашова ул., д. 1/42
362020, Республика Северная Осетия-Алания, г. Владикавказ, просп. Коста, д. 182
362020, Республика Северная Осетия-Алания, г. Владикавказ, ул. Кесаева, д. 152
362020, Республика Северная Осетия-Алания, г. Владикавказ, ул. Х.Мамсурова, д. 38а
362025, Республика Северная Осетия-Алания, г. Владикавказ, Бородинская ул./Куйбышева ул., д. 2/36
362025, Республика Северная Осетия-Алания, г. Владикавказ, Ватутина ул./ Братьев Щукиных ул., д. 76/2
362025, Республика Северная Осетия-Алания, г. Владикавказ, ул. Ак. Щегрена, д. 55
362025, Республика Северная Осетия-Алания, г. Владикавказ, ул. Ватутина, д. 80 "а"
362035, Республика Северная Осетия-Алания, г. Владикавказ, Московская ул./Гугкаева ул., д. б/н
362039, Республика Северная Осетия-Алания, г. Владикавказ, ул. Московская, д. 51, корп. 1 "а"
362040, Республика Северная Осетия-Алания, г. Владикавказ, ул. Ленина/ ул. Кирова, д. 72/48
362043, Республика Северная Осетия-Алания, г. Владикавказ, ул. Владикавказская, д. 47
362045, Республика Северная Осетия-Алания, г. Владикавказ, ул. А. Кесаева/ул. Весенняя, д. 38/40
362045, Республика Северная Осетия-Алания, г. Владикавказ, ул. Генерала Дзусова, д. 7"а"
362048, Республика Северная Осетия-Алания, г. Владикавказ, Первомайская ул., д.44 "а"
363000, Республика Северная Осетия-Алания, Правобережный район, г. Беслан, 2020км, ПК6, Привокзальная площадь
363000, Республика Северная Осетия-Алания, г. Беслан, Правобережный р-н, ул. Коминтерна, д. 2Д
363100, Республика Северная Осетия-Алания, Пригородный район, Камбилеевская Администрация сельских поселений, с. Камбилеевское, ул. Ю. Кучиева, д. 16
363131, Республика Северная Осетия-Алания, р-н Пригорный, с. Октябрьское, ул. Маяковского, д. 83"а"
363240, Республика Северная Осетия-Алания, Алагирский район, г. Алагир, ул. К. Хетагурова/ ул. Комсомольская, д. 112
363330, Республика Северная Осетия-Алания, Ардонский район, г. Ардон, ул. Калинина, д. 26 Б
363600, Республика Северная Осетия-Алания, Кировский район, Эльхотовская Администрация сельских поселений, с. Эльхотово, ул. Кирова, д. 201 "а"
363600, Республика Северная Осетия-Алания, Кировский район, с. Эльхотово, ул. Кирова, д. 207
363750, Республика Северная Осетия-Алания, Моздокский район, г. Моздок, ул. Уварова, д. 14
420005, Республика Татарстан, г. Казань, ул. Гагарина, д. 28В
420012, Республика Татарстан, г. Казань, ул. Чехова, д. 2
420021, Республика Татарстан, г. Казань, ул. Габдуллы Тукая, д. 2, пом. 1001
420021, Республика Татарстан, г. Казань, ул. Нариманова, д. 40
420029, Республика Татарстан, г. Казань, ул. Сибирский Тракт, д. 8А
420032, Республика Татарстан, г. Казань, ул. Краснококшайская, д. 150/2
420033, Республика Татарстан, г. Казань ул. Фрунзе, д. 5
420034, Республика Татарстан, г. Казань, ул. Декабристов, д. 133
420054, Республика Татарстан, г. Казань, ул. Авангардная, д. 173
420066, Республика Татарстан, г. Казань, Московский район, ул. Чистопольская, д. 3б
420073, Республика Татарстан, г. Казань, ул. Аделя Кутуя, д. 8А
420078, Республика Татарстан, г. Казань, ул. Ильича, д. 1
420080, Республика Татарстан, г. Казань, ул. Волгоградская, д. 2а
420087, Республика Татарстан, г. Казань, ул. Даурская, д. 38А
420094, Республика Татарстан, г. Казань, ул. Маршала Чуйкова, д. 23А
420100, Республика Татарстан, , г. Казань, Советский район, ул. Академика Глушко, д. 17а
420100, Республика Татарстан, г. Казань, ул. Академика Сахарова, д. 24
420111, Республика Татарстан, г. Казань, ул. Пушкина, д. 17а
420111, Республика Татарстан, г. Казань, ул. Пушкина, д. 29А, пом. 1010
420124, Республика Татарстан, г. Казань, ул. Мусина, д. 23Б, пом. №4
420124, Республика Татарстан, г. Казань, ул. Чистопольская, д. 43А
420126, Республика Татарстан, г. Казань, просп. Ямашева, д. 93, пом. 1022
420127, Республика Татарстан, г. Казань, ул. Дементьева, д. 33 А, пом. 1007
420127, Республика Татарстан, г. Казань, ул. Ленинградская, д. 17
420133, Республика Татарстан, г. Казань, ул. Маршала Чуйкова, д. 58а
420137, Республика Татарстан, г. Казань, ул. Адоратского, д. 42 А
420139, Республика Татарстан, г. Казань, ул. Рихарда Зорге, аптечный павильон ЗАО "Волга - Натур Продукт"
420140, Республика Татарстан, г. Казань, пересечение улиц Минская и Ю. Фучика (ул. Ю. Фучика, д. 155), пом. 1001
420140, Республика Татарстан, г. Казань, ул. Ломжинская, д. 17а
420141, Республика Татарстан, г. Казань, ул. Ю. Фучика, д. 105б
422545, Республика Татарстан, г. Зеленодольск, ул. Комарова, д. 6-6а
422550, Республика Татарстан, г. Зеленодольск, ул. Ив. Засорина, д. 7
422980, Республика Татарстан, г. Чистополь, ул. Ленина, д. 44
423230, Республика Татарстан, г. Бугульма, ул. Якупова, д. 31
423237, Республика Татарстан, Бугульминский муниципальный р-н, г. Бугульма, ул. Хусаина Ямашева, д. 9б, пом. 3
423250, Республика Татарстан, г. Лениногорск, ул. Тукая, строен. 26 а
423332, Республика Татарстан, Азнакаевский муниципальный район, г. Азнакаево, ул. Алиша, д. 5
423450, Республика Татарстан, г. Альметьевск, ул. Белоглазова, д. 60
423450, Республика Татарстан, г. Альметьевск, ул. Гагарина, д. 17
423455, Республика Татарстан, г. Альметьевск, ул. Гафиатуллина, д. 51 А
423455, Республика Татарстан, г. Альметьевск, ул. Ленина, д. 129А
423462, Республика Татарстан, г. Альметьевск, ул. 8 Марта, д. 23
423570, Республика Татарстан, г. Нижнекамск, пл. имени Н.В. Лемаева, д. 8
423571, Республика Татарстан, г. Нижнекамск, пр-т Мира, д.61А
423578, Республика Татарстан, Нижнекамский муниципальный р-н, г. Нижнекамск, ул. 30 лет Победы, д. 8В
423582, Республика Татарстан, г. Нижнекамск, ул. Менделеева, д. 20
423602, Республика Татарстан, г. Елабуга, ул. Т. Гиззата, д. 1А
423802, Республика Татарстан, г. Набережные Челны, проспект Вахитова, д. 14 А
423802, Республика Татарстан, г. Набережные Челны, ул. Центральная, д.84, 86
423811, Республика Татарстан, г. Набережные Челны, ул. Татарстан, д. 18 А
423812, Республика Татарстан, г. Набережные Челны, просп. Московский, д. 91(7/11)
423832, Республика Татарстан, г. Набережные Челны, просп. Сююмбике,  15А
667003, Республика Тыва, г. Кызыл, ул. Ооржака Лопсанчапа, д. 35, пом. 11,12
426004, Удмуртская Республика, г. Ижевск, ул. Ленина, д. 62
426006, Удмуртская Республика, г. Ижевск, ул. Клубная, д. 27
426011, Удмуртская Республика, г. Ижевск, ул. Пушкинская, д. 280 а
426028, Удмуртская Республика, г. Ижевск, ул. Гагарина, 17
426057, Удмуртская Республика, г. Ижевск, ул. Максима Горького, д. 86
426060, Удмуртская Республика, г. Ижевск, ул. 9 Января, 215
427620, Удмуртская Республика, г. Глазов, ул. Калинина, д.6
427620, Удмуртская Республика, г. Глазов, ул. Ленина, д. 19 а
655017, Республика Хакасия, г. Абакан, просп. Ленина, д. 76А, литер АА1
655017, Республика Хакасия, г. Абакан, ул. Чертыгашева, д. 148, Литера АА1А2
428000, Чувашская Республика, г. Чебоксары, просп. Ленина, д. 26а, пом. 3
428003, Чувашская Республика, г. Чебоксары, бульвар купца Ефремова, д. 3
428010, Чувашская Республика, г. Чебоксары, ул. Энтузиастов, д. 25, пом. 1
428017, Чувашская Республика, г. Чебоксары, ул. Гузовского, д. 8а
428024, Чувашская Республика, г. Чебоксары, проспект Мира, д. 82 "Г"
428031, Чувашская Республика, г. Чебоксары, пр-т Тракторостроителей, д. 9
428032, Чувашская Республика, г. Чебоксары, ул. Ярославская, д. 29
429123, Чувашская Республика, г. Шумерля, Базарная площадь
429332, Чувашская Республика, г. Канаш, просп. Ленина, д. 93а
429335, Чувашская Республика, город Канаш, улица Железнодорожная, д. 73
429826, Чувашская Республика, г. Алатырь, ул. Ленина, строен. 126-а
429955, Чувашская Республика, г. Новочебоксарск, ул. Советская, д. 42, пом. 5
429960, Чувашская Республика, г. Новочебоксарск, ул. 10 Пятилетки, д.37а
656015, Алтайский край, г. Барнаул, ул. Профинтерна, д. 2а
656049, Алтайский край, г. Барнаул, пр-т Красноармейский, д. 73а
656049, Алтайский край, г. Барнаул, ул. Пролетарская, д. 131
656056, Алтайский край, г. Барнаул, Ленина проспект, д. 24
656065, Алтайский край, г. Барнаул, ул. Энтузиастов, д. 14
350000, Краснодарский край, г. Краснодар, Западный округ, ул. Северная/ им. Тургенева, д. 231/37
350000, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Дзержинского, д. 68
350000, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. Воровского, д. № 152
350000, Краснодарский край, г. Краснодар, Центральный внутригородской округ, ул. Карасунская, д.86, строение 117
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Горького, д. 107
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Карасунская/им. Суворова, д. 180/149
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Красная, д. 174
350000, Краснодарский край, г. Краснодар, Центральный округ, ул. Красноармейская, д. 135/ ул. Северная, д. 358
350000, Краснодарский край, г. Краснодар, Центральный район, ул. им. Филатова, д. 68
350000, Краснодарский край, г. Краснодар, ул. Красных Партизан, д. № 249
350000, Краснодарский край, г. Краснодар, ул. Северная, д. 381
350000, Краснодарский край, г. Краснодар, ул. им. Гаврилова П.М., д. 111
350001, Краснодарский край, г. Краснодар, Центральный округ, ул. Новороссийская, д. 28
350001, Краснодарский край, г. Краснодар, Центральный округ, ул. Ставропольская, д. 120
350005, Краснодарский край, г. Краснодар, Прикубанский округ, ул. им. Дзержинского, д. 199/ ул. Кореновская, д. 40
350007, Краснодарский край, г. Краснодар, Западный округ, ул. Кубанская набережная, д. №5
350018, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Сормовская, д. 12/7
350018, Краснодарский край, г. Краснодар, Карасунский округ, ул. Сормовская, д. 7/3
350020, Краснодарский край, г. Краснодар, Западный округ, ул. Шоссе Нефтяников, д. 11
350021, Краснодарский край, г. Краснодар, ул. Трамвайная, д. 2
350029, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Российская, д. 255
350031, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Солнечная, д. 10/1
350031, Краснодарский край, г. Краснодар, п. Березовый, ул. Целиноградская
350047, Краснодарский край, г. Краснодар, Прикубанский округ, ул. Темрюкская, д. № 135
350049, Краснодарский край, г. Краснодар, Западный округ, ул. Красных Партизан, д.№220/проезд 1-й Пластунский, д. № 40
350049, Краснодарский край, г. Краснодар, Западный округ, ул. им. Тургенева, д. № 138/4
350058, Краснодарский край, г.Краснодар, Карасунский внутригородской округ, ул. Ставропольская, д.121/2
350061, Краснодарский край, г. Краснодар, Карасунский округ, ул. им. Мачуги В.Н., д. 22
350063, Краснодарский край, г. Краснодар, Западный округ, ул. Кубанская Набережная, д. 37/3
350065, Краснодарский край, г. Краснодар, Карасунский округ, ул. Трудовой Славы/ им. Игнатова
350072, Краснодарский край, г. Краснодар, Прикубанский внутригородской округ, ул. Декабристов, д. № 55
350072, Краснодарский край, г. Краснодар, ул. Московская, д. 44
350080, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. Уральская, д. 158/11
350080, Краснодарский край, г. Краснодар, Карасунский округ, ул. Сормовская, д. 118/1
350080, Краснодарский край, г. Краснодар, ул. Уральская, д. 156
350089, Краснодарский край, г. Краснодар, Западный округ, проспект Чекистов, д. 9/1, стр. 6
350089, Краснодарский край, г. Краснодар, пр. Чекистов, 27
350089, Краснодарский край, г. Краснодар, ул. Бульварное кольцо, д. 23
350900, Краснодарский край, Центральный округ, ул. Северная, д. №382/ул. им. Митрофана Седина, д. №179
350911, Краснодарский край, г. Краснодар, Карасунский внутригородской округ, ул. им. Фадеева, д. 150/4
350915, Краснодарский край, г. Краснодар, Прикубанский округ, ст. Елизаветинская, ул. Ленина/Советская, д. №91/33
352030, Краснодарский край, Кущевский район, ст-ца Кущевская, ул. Октябрьская, д. 25
352040, Краснодарский край, Павловский район, ст-ца Павловская, ул. Рабочая, д. 31
352041, Краснодарский край, Павловский район, ст. Павловская, ул. Промышленная, д. 44
352120, Краснодарский край, г. Тихорецк, ул. Ленинградская, д. 266/ул. Гражданская, д. 69
352129, Краснодарский край, г. Тихорецк, ул. Ленинградская/ Гражданская, д. 264/66
352190, Краснодарский край, Гулькевичский район, г. Гулькевичи, ул. Короткова, д. 9
352240, Краснодарский край, Новокубанский район, г. Новокубанск, ул. Первомайская, д. 189/1
352330, Краснодарский край, Усть-Лабинский район, г. Усть-Лабинск, ул. Октябрьская, д. №60Б
352363, Краснодарский край, Тбилисский р-н, ст. Тбилисская, ул. Октябрьская, д. 189
352380, Краснодарский край, Кавказский район, г. Кропоткин, ул. Ворошилова, д. 42
352395, Краснодарский край, г. Кропоткин, ул. Красная, д. 161
352430, Краснодарский край, Курганинский район, г. Курганинск, ул. Комсомольская, д. 67-А
352430, Краснодарский край, г. Курганинск, ул. Таманская, "Центральный рынок"
352433, Краснодарский край, Курганинский район, г. Курганинск, ул. Ленина, д. 8 А
352500, Краснодарский край, Лабинский район, г.Лабинск, ул. Халтурина, д. 18
352570, Краснодарский край, Мостовский район, п. Мостовской, ул. Горького, д. 86
352630, Краснодарский край, г. Белореченск, ул. Ленина, д. 78
352632, Краснодарский край, Белореченский район, г. Белореченск, ул. Гоголя, д. №40
352637, Краснодарский край, Белореченский район, г. Белореченск, ул. Интернациональная, д. 20 А
352680, Краснодарский край, Апшеронский район, г. Хадыженск, ул. Первомайская, д. 111
352690, Краснодарский край, Апшеронский район, г. Апшеронск, ул. Королева, д. 1, помещение 1
352700, Краснодарский край, Тимашевский район, г. Тимашевск, ул. Пролетарская, д. 3
352700, Краснодарский край, Тимашевский район, г/п Тимашевское, г. Тимашевск, ул. Ленина, д. 120 А/2
352700, Краснодарский край, г/п Тимашевское, г. Тимашевск, ул. 50 лет Октября, д. 172
352750, Краснодарский край, Брюховецкий район, ст-ца Брюховецкая, ул. Советская, д. 66 А
352800, Краснодарский край, г. Туапсе, ул. Б. Хмельницкого, дом № 23/2
352800, Краснодарский край, г. Туапсе, ул. Гагарина, д. 7 А
352800, Краснодарский край, г. Туапсе, ул. Маршала Жукова, д. 8а
352844, Краснодарский край, Туапсинский район, г. Джубга, ул. Черноморская, д. 66
352855, Краснодарский край, Туапсинский район, пгт. Новомихайловский, ул. Ленина, д. 2/1
352900, Краснодарский край, г. Армавир, ул. Ефремова, д. №23а
352903, Краснодарский край, г. Армавир, ул. Луначарского, д. 317/9
352930, Краснодарский край, г. Армавир, ул. Азовская, д. 26 а
352932, Краснодарский край, г. Армавир, ул. Советской Армии, д.121
353100, Краснодарский край, Выселковский район, ст-ца Выселки, ул. Монтикова, д. 65/1
353180, Краснодарский край, Кореновский район, г. Кореновск, ул. Красная, д. 154
353180, Краснодарский край, г. Кореновск, ул. Красная, д. 152
353200, Краснодарский край, Динской район, ст-ца Динская, ул. Луначарского, д. 27
353211, Краснодарский край, Динской район, ст-ца Новотитаровская, ул. Широкая, д. 123
353230, Краснодарский край, Северский район, пгт. Ильский, ул. Мира, д. 258
353236, Краснодарский край, Северский район, пгт. Афипский, ул. Пушкина, д. 132а
353240, Краснодарский край, Северский район, ст-ца Северская, ул. Базарная
353290, Краснодарский край, г. Горячий Ключ, ул. Ленина, 37
353290, Краснодарский край, г. Горячий Ключ, ул. Урусова, д. 65
353320, Краснодарский край, г. Абинск, ул. Советов, д. 118б
353380, Краснодарский край, г. Крымск, ул. Ленина, д. 211
353380, Краснодарский край, г. Крымск, ул. Синева, 9
353440, Краснодарский край, г. Анапа, ул. Солдатских матерей, д. № 17, магазин 10
353440, Краснодарский край, город-курорт Анапа, ул. Некрасова, дом 112
353450, Краснодарский край, в 30 на юг от пересечения улиц Краснодарская и Маяковского в г. Анапа
353450, Краснодарский край, г. Анапа, ул. Крымская/ Красноармейская, д. 17/ 184
353460, Краснодарский край, г. Геленджик, ул. Луначарского, д. 66
353475, Краснодарский край, г. Геленджик, мкр. Парус, д. №4а
353475, Краснодарский край, г. Геленджик, ул. Шевченко, д. 24а
353500, Краснодарский край, Темрюкский р-н, г. Темрюк, ул. Ленина, д. 67/1
353500, Краснодарский край, Темрюкский район, г. Темрюк, ул. Урицкого, д. 52 а, помещение № 1
353560, Краснодарский край, Славянский район, г. Славянск-на-Кубани, ул. Гриня, д. 312
353560, Краснодарский край, Славянский район, г. Славянск-на-Кубани, ул. Троицкая, д. № 234
353680, Краснодарский край, Ейский район, г. Ейск, ул. Мира, д. № 105
353730, Краснодарский край, Каневской район, ст-ца Каневская, ул. Герцена, д. №41
353740, Краснодарский край, Ленинградский район, ст-ца Ленинградская, пер. Базарный, д. 26
353860, Краснодарский край, Приморско-Ахтарский район, г. Приморско-Ахтарск, ул. Ленина, д. 58
353900, Краснодарский край, г. Новороссийск, Центральный округ, ул. Советов, д. 72
353900, Краснодарский край, г. Новороссийск, ул. Карла Маркса/ Свободы, д. № 1/6 № Б
353900, Краснодарский край, г. Новороссийск, ул. Победы/Свободы, д. 17/18
353900, Краснодарский край, г. Новороссийск, ул. Энгельса, д. 66
353901, Краснодарский край, г. Новороссийск, ул. Пролетарская, д. 20
353902, Краснодарский край, г. Новороссийск, ул. Сухумийское шоссе, д. № 73
353907, Краснодарский край, г. Новороссийск, Анапское шоссе, 25-27-29
353913, Краснодарский край, г. Новороссийск, ул. Героев Десантников, район жилого дома № 89
353915, Краснодарский край, г. Новороссийск, Центральный округ, ул. Дзержинского, д. 172 а
353917, Краснодарский край, г. Новороссийск, ул. Кутузовская, д. 10
353919, Краснодарский край, г. Новороссийск, ул. Волгоградская, д. 22
353960, Краснодарский край, г. Новороссийск, Приморский Округ, с. Цемдолина, ул. Ленина, в районе ДСК
354000, Краснодарский край, г. Сочи, Хостинский район, Курортный проспект, д. 92
354000, Краснодарский край, г. Сочи, Центральный район, пр. Курортный, д. №19/4
354000, Краснодарский край, г. Сочи, Центральный район, ул. Московская, д. 18
354000, Краснодарский край, г. Сочи, Центральный район, ул. Московская, д. №25
354000, Краснодарский край, г. Сочи, Центральный район, ул. Навагинская, д. 9/2
354000, Краснодарский край, г. Сочи, Центральный район, ул. Навагинская, д. № 9, блок № 4
354000, Краснодарский край, г. Сочи, Центральный район, ул. Северная, д. 10
354000, Краснодарский край, г.Сочи, Хостинский район, ул. Платановая
354002, Краснодарский край, г. Сочи, Хостинский район, ул. Учительская/ Тургенева, д. 10/13
354003, Краснодарский край, г. Сочи, Центральный р-н, ул. Пластунская, д. 198а
354003, Краснодарский край, г. Сочи, Центральный район, ул. Макаренко, д. 30 б
